Iteration,Rank_Loss
1.0,0.2222222222222222
2.0,0.2222222222222222
3.0,0.2222222222222222
4.0,0.1111111111111111
5.0,0.2222222222222222
6.0,0.0
7.0,0.1111111111111111
8.0,0.2222222222222222
9.0,0.1111111111111111
10.0,0.1111111111111111
11.0,0.2222222222222222
12.0,0.2222222222222222
13.0,0.7777777777777778
14.0,0.2222222222222222
15.0,0.0
16.0,0.1111111111111111
17.0,0.2222222222222222
18.0,0.1111111111111111
19.0,0.1111111111111111
20.0,0.2222222222222222
21.0,0.1111111111111111
22.0,0.0
23.0,0.2222222222222222
24.0,0.1111111111111111
25.0,0.1111111111111111
26.0,0.1111111111111111
27.0,0.2222222222222222
28.0,0.1111111111111111
29.0,0.0
30.0,0.4444444444444444
31.0,0.1111111111111111
32.0,0.1111111111111111
